Id,Symbol,Name,Display Symbol,Exchange,Portfolio,Currency,Shares Owned,Cost Per Share,Commission,Transaction Date,Transaction Time,Purchase Exchange Rate,Type,Accounting,Accounting Execution Ids,Notes        
,0P0000XVYC.BO,ABSL 96 tax saver,,,MF_Mahak,INR,336.7,29.7,,9/25/2017,,,Buy,,,
,0P0000XVYC.BO,ABSL 96 tax saver,,,MF_Mahak,INR,497.678,30.14,,10/5/2017,,,Buy,,,
,0P0000XVYC.BO,ABSL 96 tax saver,,,MF_Mahak,INR,1266.223,31.59,,3/19/2018,,,Buy,,,
,0P0000XVYC.BO,ABSL 96 tax saver,,,MF_Mahak,INR,1642.036,30.45,,10/22/2018,,,Buy,,,
,0P0000XVYC.BO,ABSL 96 tax saver,,,MF_Mahak,INR,1549.907,32.26,,1/2/2019,,,Buy,,,
,0P0000XVYC.BO,ABSL 96 tax saver,,,MF_Mahak,INR,614.824,40.66,,1/15/2021,,,Buy,,,
,0P0000XVYC.BO,ABSL 96 tax saver,,,MF_Mahak,INR,729.536,41.12,,3/19/2021,,,Buy,,,
,0P0000XVYC.BO,ABSL 96 tax saver,,,MF_Mahak,INR,729.536,41.12,,3/19/2021,,,Buy,,,
,0P0000XVYC.BO,ABSL 96 tax saver,,,MF_Mahak,INR,728.296,41.19,,3/22/2021,,,Buy,,,
,0P0000XVYC.BO,ABSL 96 tax saver,,,MF_Mahak,INR,2299.931,43.48,,2/21/2023,,,Sell,,,
,0P0000XVYC.BO,ABSL 96 tax saver,,,MF_Mahak,INR,1169.602,42.75,,3/1/2023,,,Sell,,,
,0P0000XVYC.BO,ABSL 96 tax saver,,,MF_Mahak,INR,1802.469,41.61,,3/17/2023,,,Sell,,,
,0P0000XVYC.BO,ABSL 96 tax saver,,,MF_Mahak,INR,621.465,54.71,,1/19/2024,,,Sell,,,
,0P0000XVYC.BO,ABSL 96 tax saver,,,MF_Mahak,INR,2201.269,63.29936959,,6/21/2024,,,Sell,,,
,0P0000XVU7.BO,Axis long term,,,MF_Mahak,INR,1118.373,44.7078,,1/10/2019,,,Buy,,,
,0P0000XVU7.BO,Axis long term,,,MF_Mahak,INR,1030.628,48.5141,,6/17/2019,,,Buy,,,
